"codigo","situacao","nome","descricao","mensagem","parametros"
"ELIM0518","Ativa","Valida saldo da conta 142.10","Verifica se a soma dos valores contábeis (elemento 2) da conta 590.10 bate com o saldo da conta 142.10","A soma dos valores contábeis (elemento 2) da conta 590.10 (R$ VL1) diverge do saldo da conta 142.10 (R$ VL2).","System.Object[]"
"ELIM0519","Ativa","Valida saldo da conta 142.09","Verifica se a soma dos valores contábeis (elemento 2) da conta 580 bate com o saldo da conta 142.09","A soma dos valores contábeis (elemento 2) da conta 580 (R$ VL1) diverge do saldo da conta 142.09 (R$ VL2).","System.Object[]"
"ELIM0520","Ativa","Valida saldo da conta 142.05.01","Verifica se a soma dos valores contábeis (elemento 2) das contas 540.07 bate com o saldo da conta 142.05.01","A soma dos valores contábeis (elemento 2) da conta 540.07 (R$ VL1) diverge do saldo da conta 142.05.01 (R$ VL2).","System.Object[]"
"ELIM0521","Ativa","Valida saldo da conta 146.01.03","Verifica se a soma dos valores contábeis (elemento 2) das contas 620.06, 620.07 e 620.09 bate com o saldo da conta 146.01.03","A soma dos valores contábeis (elemento 2) das contas 620.06, 620.07 e 620.09 (R$ VL1) diverge do saldo da conta 146.01.03 (R$ VL2).","System.Object[]"
"ELIM0522","Ativa","Valida detalhamento da conta 943","Verifica se a soma dos RWACPRNBi acrescido do RWA público e do RWA bancário alcança o saldo do RWACPAD","O saldo da conta 700 (VL1) não é consistente com a soma dos seguintes valores: saldo da conta 943.01 (VL2), saldo da conta 943.02 (VL3), somatório dos RWACPRNBi relativo a cada jurisdição (VL4).","System.Object[]"
"ELIM0523","Ativa","Rejeita documento sem opção apuração ACPcontracíclico","Rejeita o documento da instituição que não declara sua opção por apurar o ACCPi pelo percentual máximo aplicável ao Brasil ou detalhado por jurisdição","Não foi informada a opção de apuração do ACPcontracíclico (tabela 26 das instruções de preenchimento do DLO)","System.Object[]"
"ELIM0524","Ativa","Valida detalhamento do ACPcontracíclico","Rejeita documento de instituição que declara apurar detalhadamente o ACPcontracíclico e não fornece RWA de crédito privado não-bancário para alguma jurisdição (RWAcprNBi).","Não foi efetuado o detalhamento do ACPcontracíclico.","System.Object[]"
"ELIM0525","Ativa","Valida saldo da 943 sem detalhamento","Verifica se o saldo da conta 943, quando optante pelos percentuais máximo, o saldo corresponde ao saldo da conta 942.","A instituição indicou a opção pelo uso dos percentuais máximos na apuração do ACP contracíclico, no entanto, o saldo da conta não corresponde ao percentual máximo previsto em norma.","System.Object[]"
"ELIM0526","Ativa","VALIDA ELEMENTO 2 RA","Verifica se a soma do elemento 2 das contas 146.02.01, 146.02.02 e 146.02.03 foram informados com valor positivo.","Foi informado indevidamente valor negativo para o elemento 2 (valor contábil/valor de exposição) para contas do subgrupo 146.02 do DLO.","System.Object[]"
"ELIM0527","Ativa","VALIDA SALDO DA CONTA 865","No caso da instituição ter informado a conta do RWAMINT, se os elementos 51 e 52 foram informados e se encontram compatíveis com o saldo da conta.","A instituição informou saldo na conta 865 e este saldo não é compatível com os elementos 51 e 52, ou então os elementos 51 e 52 não foram informados.","System.Object[]"
"ELIM0528","Ativa","VALIDA SALDO DA CONTA 865.01","No caso da instituição ter informado a conta do RWAMINT, se os elementos 51 e 52 foram informados e se encontram compatíveis com o saldo da conta.","A instituição informou saldo na conta 865.01 e este saldo não é compatível com os elementos 51 e 52, ou então os elementos 51 e 52 não foram informados.","System.Object[]"
"ELIM0529","Ativa","VALIDA SALDO DA CONTA 865.10","No caso da instituição ter informado a conta do RWAMINT, se os elementos 51 e 52 foram informados e se encontram compatíveis com o saldo da conta.
","A instituição informou saldo na conta 865.10 e este saldo não é compatível com os elementos 51 e 52, ou então os elementos 51 e 52 não foram informados.","System.Object[]"
"ELIM0530","Ativa","VALIDA SALDO DA CONTA 865.20","No caso da instituição ter informado a conta do RWAMINT, se os elementos 51 e 52 foram informados e se encontram compatíveis com o saldo da conta.","A instituição informou saldo na conta 865.20 e este saldo não é compatível com os elementos 51 e 52, ou então os elementos 51 e 52 não foram informados.","System.Object[]"
"ELIM0531","Ativa","VALIDA SALDO DA CONTA 865.20.01","No caso da instituição ter informado a conta do RWAMINT, se os elementos 51 e 52 foram informados e se encontram compatíveis com o saldo da conta.","A instituição informou saldo na conta 865.20.01 e este saldo não é compatível com os elementos 51 e 52, ou então os elementos 51 e 52 não foram informados.","System.Object[]"
"ELIM0532","Ativa","VALIDA SALDO DA CONTA 865.20.10","No caso da instituição ter informado a conta do RWAMINT, se os elementos 51 e 52 foram informados e se encontram compatíveis com o saldo da conta.","A instituição informou saldo na conta 865.20.10 e este saldo não é compatível com os elementos 51 e 52, ou então os elementos 51 e 52 não foram informados.","System.Object[]"
"ELIM0533","Ativa","VALIDA SALDO DA CONTA 865.20.20","No caso da instituição ter informado a conta do RWAMINT, se os elementos 51 e 52 foram informados e se encontram compatíveis com o saldo da conta.","A instituição informou saldo na conta 865.20.20 e este saldo não é compatível com os elementos 51 e 52, ou então os elementos 51 e 52 não foram informados.","System.Object[]"
"ELIM0534","Ativa","VALIDA SALDO DA CONTA 865.20.30","No caso da instituição ter informado a conta do RWAMINT, se os elementos 51 e 52 foram informados e se encontram compatíveis com o saldo da conta.","A instituição informou saldo na conta 865.20.30 e este saldo não é compatível com os elementos 51 e 52, ou então os elementos 51 e 52 não foram informados.","System.Object[]"
